year,team,rank
2000,Geelong,5
2000,Brisbane Lions,6
2000,Hawthorn,8
2000,Richmond,9
2000,Sydney,10
2000,Collingwood,15
2001,Brisbane Lions,2
2001,Richmond,4
2001,Hawthorn,6
2001,Sydney,7
2001,Collingwood,9
2001,Geelong,12
2002,Brisbane Lions,2
2002,Collingwood,4
2002,Geelong,9
2002,Hawthorn,10
2002,Sydney,11
2002,Richmond,14
2003,Collingwood,2
2003,Brisbane Lions,3
2003,Sydney,4
2003,Hawthorn,9
2003,Geelong,12
2003,Richmond,13
2004,Brisbane Lions,2
2004,Geelong,4
2004,Sydney,6
2004,Collingwood,13
2004,Hawthorn,15
2004,Richmond,16
2005,Sydney,3
2005,Geelong,6
2005,Brisbane Lions,11
2005,Richmond,12
2005,Hawthorn,14
2005,Collingwood,15
2006,Sydney,4
2006,Collingwood,5
2006,Richmond,9
2006,Geelong,10
2006,Hawthorn,11
2006,Brisbane Lions,13
2007,Geelong,1
2007,Hawthorn,5
2007,Collingwood,6
2007,Sydney,7
2007,Brisbane Lions,10
2007,Richmond,16
2008,Geelong,1
2008,Hawthorn,2
2008,Sydney,6
2008,Collingwood,8
2008,Richmond,9
2008,Brisbane Lions,10
2009,Geelong,2
2009,Collingwood,4
2009,Brisbane Lions,6
2009,Hawthorn,9
2009,Sydney,12
2009,Richmond,15
2010,Collingwood,1
2010,Geelong,2
2010,Sydney,5
2010,Hawthorn,7
2010,Brisbane Lions,13
2010,Richmond,15
2011,Collingwood,1
2011,Geelong,2
2011,Hawthorn,3
2011,Sydney,7
2011,Richmond,12
2011,Brisbane Lions,15
2012,Hawthorn,1
2012,Sydney,3
2012,Collingwood,4
2012,Geelong,6
2012,Richmond,12
2012,Brisbane Lions,13
2013,Hawthorn,1
2013,Geelong,2
2013,Sydney,4
2013,Richmond,5
2013,Collingwood,6
2013,Brisbane Lions,12
2014,Sydney,1
2014,Hawthorn,2
2014,Geelong,3
2014,Richmond,8
2014,Collingwood,11
2014,Brisbane Lions,15
2015,Hawthorn,3
2015,Sydney,4
2015,Richmond,5
2015,Geelong,10
2015,Collingwood,12
2015,Brisbane Lions,17
2016,Sydney,1
2016,Geelong,2
2016,Hawthorn,3
2016,Collingwood,12
2016,Richmond,13
2016,Brisbane Lions,17
2017,Geelong,2
2017,Richmond,3
2017,Sydney,6
2017,Hawthorn,12
2017,Collingwood,13
2017,Brisbane Lions,18
2018,Richmond,1
2018,Collingwood,3
2018,Hawthorn,4
2018,Sydney,6
2018,Geelong,8
2018,Brisbane Lions,15
2019,Geelong,1
2019,Brisbane Lions,2
2019,Richmond,3
2019,Collingwood,4
2019,Hawthorn,9
2019,Sydney,15
2020,Brisbane Lions,2
2020,Richmond,3
2020,Geelong,4
2020,Collingwood,8
2020,Hawthorn,15
2020,Sydney,16
2021,Geelong,3
2021,Brisbane Lions,4
2021,Sydney,6
2021,Richmond,12
2021,Hawthorn,14
2021,Collingwood,17
2022,Geelong,1
2022,Sydney,3
2022,Collingwood,4
2022,Brisbane Lions,6
2022,Richmond,7
2022,Hawthorn,13
2023,Collingwood,1
2023,Brisbane Lions,2
2023,Sydney,8
2023,Geelong,12
2023,Richmond,13
2023,Hawthorn,16
2024,Sydney,1
2024,Geelong,3
2024,Brisbane Lions,5
2024,Hawthorn,7
2024,Collingwood,9
2024,Richmond,18
2025,Hawthorn,1
2025,Brisbane Lions,3
2025,Collingwood,6
2025,Geelong,9
2025,Sydney,11
2025,Richmond,15
