year,team,rank
1897,Geelong,1
1897,Essendon,2
1897,Melbourne,3
1897,Collingwood,4
1897,Sydney,5
1897,Carlton,7
1897,St Kilda,8
1898,Essendon,1
1898,Collingwood,2
1898,Geelong,4
1898,Sydney,5
1898,Melbourne,6
1898,Carlton,7
1898,St Kilda,8
1899,Geelong,2
1899,Collingwood,3
1899,Essendon,4
1899,Sydney,5
1899,Melbourne,6
1899,Carlton,7
1899,St Kilda,8
1900,Essendon,2
1900,Geelong,3
1900,Collingwood,4
1900,Melbourne,5
1900,Sydney,6
1900,Carlton,7
1900,St Kilda,8
1901,Geelong,1
1901,Essendon,2
1901,Collingwood,3
1901,Melbourne,5
1901,Sydney,6
1901,Carlton,7
1901,St Kilda,8
1902,Collingwood,1
1902,Essendon,2
1902,Melbourne,4
1902,Sydney,5
1902,Carlton,6
1902,Geelong,7
1902,St Kilda,8
1903,Collingwood,1
1903,Carlton,3
1903,Geelong,4
1903,St Kilda,5
1903,Essendon,6
1903,Melbourne,7
1903,Sydney,8
1904,Carlton,2
1904,Collingwood,3
1904,Essendon,4
1904,Sydney,5
1904,Melbourne,6
1904,Geelong,7
1904,St Kilda,8
1905,Collingwood,1
1905,Carlton,3
1905,Essendon,4
1905,Sydney,5
1905,Geelong,6
1905,St Kilda,7
1905,Melbourne,8
1906,Carlton,1
1906,Collingwood,3
1906,Essendon,4
1906,Sydney,5
1906,St Kilda,6
1906,Geelong,7
1906,Melbourne,8
1907,Carlton,1
1907,Sydney,2
1907,St Kilda,3
1907,Collingwood,4
1907,Geelong,6
1907,Melbourne,7
1907,Essendon,8
1908,Carlton,1
1908,Essendon,2
1908,St Kilda,3
1908,Collingwood,4
1908,Sydney,5
1908,Melbourne,8
1908,Richmond,9
1908,Geelong,10
1909,Sydney,1
1909,Carlton,2
1909,Collingwood,3
1909,Essendon,4
1909,Melbourne,5
1909,Richmond,8
1909,St Kilda,9
1909,Geelong,10
1910,Carlton,1
1910,Collingwood,2
1910,Sydney,3
1910,Essendon,4
1910,Geelong,5
1910,Richmond,7
1910,Melbourne,9
1910,St Kilda,10
1911,Essendon,1
1911,Sydney,2
1911,Carlton,3
1911,Collingwood,4
1911,Geelong,6
1911,Melbourne,7
1911,Richmond,8
1911,St Kilda,9
1912,Sydney,1
1912,Carlton,2
1912,Essendon,3
1912,Geelong,4
1912,Melbourne,6
1912,Collingwood,7
1912,St Kilda,8
1912,Richmond,9
1913,Sydney,2
1913,Collingwood,3
1913,St Kilda,4
