team,venue_type,win_pct
Geelong,Home,74.1
Geelong,Away,51.4
West Coast,Home,66.1
West Coast,Away,41.3
Port Adelaide,Home,63.6
Port Adelaide,Away,44.1
Adelaide,Home,63.0
Adelaide,Away,39.5
Hawthorn,Home,62.5
Hawthorn,Away,46.2
Essendon,Home,60.3
Essendon,Away,41.6
Brisbane Lions,Home,59.2
Brisbane Lions,Away,34.5
Sydney,Home,59.0
Sydney,Away,46.8
Collingwood,Home,58.8
Collingwood,Away,49.6
Fremantle,Home,57.4
Fremantle,Away,32.6
Western Bulldogs,Home,56.4
Western Bulldogs,Away,44.4
St Kilda,Home,54.2
St Kilda,Away,40.9
North Melbourne,Home,53.8
North Melbourne,Away,42.8
Greater Western Sydney,Home,53.4
Greater Western Sydney,Away,39.2
Richmond,Home,53.3
Richmond,Away,37.3
Carlton,Home,48.9
Carlton,Away,40.0
Melbourne,Home,48.4
Melbourne,Away,38.9
Gold Coast,Home,40.3
Gold Coast,Away,19.0
Fitzroy,Home,31.6
Fitzroy,Away,18.4
