year,matches
1897,62
1898,70
1899,69
1900,70
1901,71
1902,72
1903,71
1904,71
1905,72
1906,71
1907,71
1908,93
1909,94
1910,94
1911,93
1912,94
1913,94
1914,94
1915,76
1916,28
1917,49
1918,59
1919,76
1920,76
1921,76
1922,76
1923,76
1924,78
1925,106
1926,112
1927,111
1928,112
1929,112
1930,112
1931,112
1932,112
1933,112
1934,112
1935,112
1936,112
1937,112
1938,112
1939,112
1940,112
1941,112
1942,84
1943,84
1944,112
1945,124
1946,119
1947,118
1948,119
1949,118
1950,112
1951,112
1952,118
1953,112
1954,112
1955,112
1956,112
1957,112
1958,112
1959,112
1960,112
1961,112
1962,113
1963,112
1964,112
1965,112
1966,112
1967,112
1968,124
1969,124
1970,136
1971,136
1972,139
1973,138
1974,138
1975,138
1976,138
1977,139
1978,138
1979,138
1980,138
1981,138
1982,138
1983,138
1984,138
1985,138
1986,138
1987,160
1988,160
1989,160
1990,161
1991,172
1992,172
1993,157
1994,173
1995,185
1996,185
1997,185
1998,185
1999,185
2000,185
2001,185
2002,185
2003,185
2004,185
2005,185
2006,185
2007,184
2008,185
2009,185
2010,186
2011,196
2012,207
2013,207
2014,207
2015,206
2016,207
2017,206
2018,207
2019,207
2020,162
2021,207
2022,207
2023,216
2024,216
2025,27
