decade,team,premierships
1890s,Fitzroy,2
1900s,Carlton,3
1900s,Collingwood,2
1900s,Essendon,1
1900s,Fitzroy,2
1900s,Melbourne,1
1900s,Sydney,1
1910s,Carlton,2
1910s,Collingwood,3
1910s,Essendon,2
1910s,Fitzroy,2
1910s,Sydney,1
1920s,Collingwood,3
1920s,Essendon,1
1920s,Fitzroy,1
1920s,Geelong,1
1920s,Melbourne,1
1920s,Richmond,2
1930s,Carlton,1
1930s,Collingwood,3
1930s,Geelong,2
1930s,Melbourne,1
1930s,Richmond,2
1930s,Sydney,1
1940s,Carlton,2
1940s,Essendon,3
1940s,Fitzroy,1
1940s,Melbourne,3
1940s,Richmond,1
1950s,Collingwood,2
1950s,Essendon,1
1950s,Geelong,2
1950s,Melbourne,4
1950s,Western Bulldogs,1
1960s,Carlton,1
1960s,Essendon,2
1960s,Geelong,1
1960s,Hawthorn,1
1960s,Melbourne,2
1960s,Richmond,2
1960s,St Kilda,1
1970s,Carlton,3
1970s,Hawthorn,3
1970s,North Melbourne,2
1970s,Richmond,2
1980s,Carlton,3
1980s,Essendon,2
1980s,Hawthorn,4
1980s,Richmond,1
1990s,Adelaide,2
1990s,Carlton,1
1990s,Collingwood,1
1990s,Essendon,1
1990s,Hawthorn,1
1990s,North Melbourne,2
1990s,West Coast,2
2000s,Brisbane Lions,3
2000s,Essendon,1
2000s,Geelong,2
2000s,Hawthorn,1
2000s,Port Adelaide,1
2000s,Sydney,1
2000s,West Coast,1
2010s,Collingwood,1
2010s,Geelong,1
2010s,Hawthorn,3
2010s,Richmond,2
2010s,Sydney,1
2010s,West Coast,1
2010s,Western Bulldogs,1
2020s,Brisbane Lions,1
2020s,Collingwood,1
2020s,Geelong,1
2020s,Melbourne,1
2020s,Richmond,1
