venue,matches,state,lat,lon
M.C.G.,3108,Victoria,-37.82,144.9834
Princes Park,1277,Victoria,-37.7833,144.9614
Docklands,1122,Victoria,-37.8163,144.9476
Victoria Park,880,Victoria,-37.8067,144.9897
Junction Oval,734,Victoria,-37.8516,144.9774
Waverley Park,731,Victoria,-37.9333,145.1833
Kardinia Park,721,Victoria,-38.1583,144.3547
Lake Oval,704,Victoria,-37.8331,144.955
Western Oval,665,Victoria,-37.7912,144.8842
Windy Hill,629,Victoria,-37.7497,144.9197
Brunswick St,612,Victoria,-37.7878,144.9794
Punt Rd,544,Victoria,-37.8211,144.9836
Subiaco,544,Western Australia,-31.9446,115.8264
Arden St,529,Victoria,-37.7997,144.9405
S.C.G.,465,New South Wales,-33.8917,151.2247
Football Park,458,South Australia,-34.8497,138.5008
Glenferrie Oval,443,Victoria,-37.8214,145.0344
Gabba,411,Queensland,-27.4858,153.0381
Corio Oval,371,Victoria,-38.1158,144.3964
Adelaide Oval,264,South Australia,-34.9156,138.5961
Moorabbin Oval,254,Victoria,-37.9389,145.0322
Carrara,246,Queensland,-28.0061,153.3636
East Melbourne,225,Victoria,-37.8169,144.9836
Perth Stadium,160,Western Australia,-31.9511,115.8889
Sydney Showground,103,New South Wales,-33.8458,151.0664
York Park,93,Tasmania,-41.4256,147.1372
W.A.C.A.,72,Western Australia,-31.9603,115.8783
Manuka Oval,62,Australian Capital Territory,-35.3183,149.1342
Stadium Australia,56,New South Wales,-33.8472,151.0633
Bellerive Oval,40,Tasmania,-42.8775,147.3736
Marrara Oval,28,Northern Territory,-12.4,130.887
